season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2012,Wolfsburg,20,131,VfL Wolfsburg,Wolfsburg,95,FC Augsburg,Augsburg,1,1,1,0,0,2
2012,Gelsenkirchen,20,9,FC Schalke 04,Schalke,115,SpVgg Greuther Fürth,Fürth,1,2,0,0,1,3
2012,Mainz,20,81,1. FSV Mainz 05,Mainz,40,FC Bayern München,Bayern,0,3,0,0,1,3
2012,Düsseldorf,20,185,Fortuna Düsseldorf,Düsseldorf,16,VfB Stuttgart,Stuttgart,3,1,0,1,0,4
2012,Sinsheim,20,175,TSG 1899 Hoffenheim,Hoffenheim,112,SC Freiburg,Freiburg,2,1,0,1,0,3
2012,Hamburg,20,100,Hamburger SV,HSV,91,Eintracht Frankfurt,Frankfurt,0,2,0,0,1,2
2012,Nürnberg,20,79,1. FC Nürnberg,Nürnberg,87,Borussia Mönchengladbach,Gladbach,2,1,0,1,0,3
2012,Leverkusen,20,6,Bayer Leverkusen,Leverkusen,7,Borussia Dortmund,BVB,2,3,0,0,1,5
2012,Hannover,21,55,Hannover 96,Hannover,175,TSG 1899 Hoffenheim,Hoffenheim,1,0,0,1,0,1
2012,Dortmund,21,7,Borussia Dortmund,BVB,100,Hamburger SV,HSV,1,4,0,0,1,5
2012,Gladbach,21,87,Borussia Mönchengladbach,Gladbach,6,Bayer Leverkusen,Leverkusen,3,3,1,0,0,6
2012,Fürth,21,115,SpVgg Greuther Fürth,Fürth,131,VfL Wolfsburg,Wolfsburg,0,1,0,0,1,1
2012,Stuttgart,21,16,VfB Stuttgart,Stuttgart,134,Werder Bremen,Bremen,1,4,0,0,1,5
2012,Frankfurt,21,91,Eintracht Frankfurt,Frankfurt,79,1. FC Nürnberg,Nürnberg,0,0,1,0,0,0
2012,München,21,40,FC Bayern München,Bayern,9,FC Schalke 04,Schalke,4,0,0,1,0,4
2012,Augsburg,21,95,FC Augsburg,Augsburg,81,1. FSV Mainz 05,Mainz,1,1,1,0,0,2
2012,Freiburg,21,112,SC Freiburg,Freiburg,185,Fortuna Düsseldorf,Düsseldorf,1,0,0,1,0,1
2012,Wolfsburg,22,131,VfL Wolfsburg,Wolfsburg,40,FC Bayern München,Bayern,0,2,0,0,1,2
2012,Bremen,22,134,Werder Bremen,Bremen,112,SC Freiburg,Freiburg,2,3,0,0,1,5
2012,Leverkusen,22,6,Bayer Leverkusen,Leverkusen,95,FC Augsburg,Augsburg,2,1,0,1,0,3
2012,Düsseldorf,22,185,Fortuna Düsseldorf,Düsseldorf,115,SpVgg Greuther Fürth,Fürth,1,0,0,1,0,1
2012,Mainz,22,81,1. FSV Mainz 05,Mainz,9,FC Schalke 04,Schalke,2,2,1,0,0,4
